DocID     RunID       Language Metatype GoldClusterID     SystemClusterID     Prec Recall     F1
IC001V7VC example-run RUS      Relation cluster-NILR22105 cluster-NILR22105 1.0000 1.0000 1.0000
IC001V7VC example-run RUS      Relation cluster-NILR22106 cluster-NILR22106 1.0000 1.0000 1.0000
IC001V7VC example-run RUS      Relation cluster-NILR22107 cluster-NILR22107 1.0000 1.0000 1.0000
IC001V7VC example-run RUS      Relation cluster-NILR22108 cluster-NILR22108 1.0000 1.0000 1.0000
IC001V7VC example-run RUS      Relation cluster-NILR22109 cluster-NILR22109 1.0000 1.0000 1.0000
IC001V7VC example-run RUS      Relation cluster-NILR22110 cluster-NILR22110 1.0000 1.0000 1.0000
IC001V7VC example-run RUS      Relation cluster-NILR22111 cluster-NILR22111 1.0000 1.0000 1.0000
IC001V7VC example-run RUS      Relation cluster-NILR22112 cluster-NILR22112 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22182 cluster-NILV22182 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22183 cluster-NILV22183 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22184 cluster-NILV22184 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22185 cluster-NILV22185 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22186 cluster-NILV22186 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22187 cluster-NILV22187 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22188 cluster-NILV22188 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22189 cluster-NILV22189 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22190 cluster-NILV22190 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22191 cluster-NILV22191 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22192 cluster-NILV22192 1.0000 1.0000 1.0000
IC001V8J7 example-run RUS      Event    cluster-NILV22193 cluster-NILV22193 1.0000 1.0000 1.0000
