slot_type_code	slot_type
evt106arg01transporter	Movement.TransportArtifact.NonviolentThrowLaunch_Transporter
evt107arg01preventer	Movement.TransportArtifact.PreventEntry_Preventer
evt108arg01preventer	Movement.TransportArtifact.PreventExit_Preventer
evt109arg01transporter	Movement.TransportArtifact.ReceiveImport_Transporter
evt110arg01transporter	Movement.TransportArtifact.SendSupplyExport_Transporter
evt111arg01transporter	Movement.TransportArtifact.SmuggleExtract_Transporter
evt112arg01transporter	Movement.TransportPerson_Transporter
evt113arg01transporter	Movement.TransportPerson.BringCarryUnload_Transporter
evt114arg01transporter	Movement.TransportPerson.DisperseSeparate_Transporter
evt115arg01transporter	Movement.TransportPerson.EvacuationRescue_Transporter
evt116arg01passenger	Movement.TransportPerson.Fall_Passenger
evt117arg01granter	Movement.TransportPerson.GrantEntryAsylum_Granter
evt118arg01transporter	Movement.TransportPerson.Hide_Transporter
evt119arg01preventer	Movement.TransportPerson.PreventEntry_Preventer
evt120arg01preventer	Movement.TransportPerson.PreventExit_Preventer
evt121arg01transporter	Movement.TransportPerson.SelfMotion_Transporter
evt122arg01transporter	Movement.TransportPerson.SmuggleExtract_Transporter
evt123arg01voter	Personnel.Elect_Voter
evt124arg01voter	Personnel.Elect.WinElection_Voter
evt125arg01employee	Personnel.EndPosition_Employee
evt126arg01employee	Personnel.EndPosition.FiringLayoff_Employee
evt127arg01employee	Personnel.EndPosition.QuitRetire_Employee
evt128arg01employee	Personnel.StartPosition_Employee
evt129arg01employee	Personnel.StartPosition.Hiring_Employee
evt130arg01participant	Transaction.Transaction_Participant
evt131arg01preventer	Transaction.Transaction.EmbargoSanction_Preventer
evt132arg01giver	Transaction.Transaction.GiftGrantProvideAid_Giver
evt133arg01giver	Transaction.TransferMoney_Giver
evt134arg01giver	Transaction.TransferMoney.BorrowLend_Giver
evt135arg01preventer	Transaction.TransferMoney.EmbargoSanction_Preventer
evt136arg01giver	Transaction.TransferMoney.GiftGrantProvideAid_Giver
evt137arg01giver	Transaction.TransferMoney.PayForService_Giver
evt138arg01giver	Transaction.TransferMoney.Purchase_Giver
evt139arg01giver	Transaction.TransferOwnership_Giver
evt140arg01giver	Transaction.TransferOwnership.BorrowLend_Giver
evt141arg01preventer	Transaction.TransferOwnership.EmbargoSanction_Preventer
evt142arg01giver	Transaction.TransferOwnership.GiftGrantProvideAid_Giver
evt143arg01giver	Transaction.TransferOwnership.Purchase_Giver
evt144arg01giver	Transaction.Transaction.TransferControl_Giver
evt001arg02artifact	ArtifactExistence.DamageDestroy_Artifact
evt002arg02artifact	ArtifactExistence.DamageDestroy.Damage_Artifact
evt003arg02artifact	ArtifactExistence.DamageDestroy.Destroy_Artifact
evt004arg02target	Conflict.Attack_Target
evt005arg02target	Conflict.Attack.AirstrikeMissileStrike_Target
evt006arg02target	Conflict.Attack.BiologicalChemicalPoisonAttack_Target
evt007arg02target	Conflict.Attack.Bombing_Target
evt008arg02target	Conflict.Attack.FirearmAttack_Target
evt009arg02target	Conflict.Attack.Hanging_Target
evt010arg02target	Conflict.Attack.Invade_Target
evt011arg02target	Conflict.Attack.SelfDirectedBattle_Target
evt012arg02target	Conflict.Attack.SetFire_Target
evt013arg02target	Conflict.Attack.Stabbing_Target
evt014arg02target	Conflict.Attack.StealRobHijack_Target
evt015arg02target	Conflict.Attack.Strangling_Target
evt016arg02place	Conflict.Demonstrate_Place
evt017arg02place	Conflict.Demonstrate.MarchProtestPoliticalGathering_Place
evt018arg02recipient	Conflict.Yield_Recipient
evt019arg02origin	Conflict.Yield.Retreat_Origin
evt020arg02recipient	Conflict.Yield.Surrender_Recipient
evt021arg02participant	Contact.Collaborate_Participant
evt022arg02participant	Contact.Collaborate.Correspondence_Participant
evt023arg02participant	Contact.Collaborate.Meet_Participant
evt024arg02recipient	Contact.CommandOrder_Recipient
evt025arg02recipient	Contact.CommandOrder.Broadcast_Recipient
evt026arg02recipient	Contact.CommandOrder.Correspondence_Recipient
evt027arg02recipient	Contact.CommandOrder.Meet_Recipient
evt028arg02recipient	Contact.CommitmentPromiseExpressIntent_Recipient
evt029arg02recipient	Contact.CommitmentPromiseExpressIntent.Broadcast_Recipient
evt030arg02recipient	Contact.CommitmentPromiseExpressIntent.Correspondence_Recipient
evt031arg02recipient	Contact.CommitmentPromiseExpressIntent.Meet_Recipient
evt032arg02participant	Contact.Discussion_Participant
evt033arg02participant	Contact.Discussion.Correspondence_Participant
evt034arg02participant	Contact.Discussion.Meet_Participant
evt035arg02participant	Contact.FuneralVigil_Participant
evt036arg02participant	Contact.FuneralVigil.Meet_Participant
evt037arg02recipient	Contact.MediaStatement_Recipient
evt038arg02recipient	Contact.MediaStatement.Broadcast_Recipient
evt039arg02participant	Contact.Negotiate_Participant
evt040arg02participant	Contact.Negotiate.Correspondence_Participant
evt041arg02participant	Contact.Negotiate.Meet_Participant
