ldctype	ldcsubtype	ldcrole	nisttype	nistsubtype	nistrole
justice	execute	per	Justice	Execute	Person
justice	execute	crm	Justice	Execute	Crime
justice	execute	plc	Justice	Execute	Place
justice	execute	date	Justice	Execute	Time
justice	extradite	perorggpe	Justice	Extradite	Agent
justice	extradite	per	Justice	Extradite	Person
justice	extradite	crm	Justice	Extradite	Crime
justice	extradite	plcfrom	Justice	Extradite	Origin
justice	extradite	plcto	Justice	Extradite	Destination
justice	extradite	date	Justice	Extradite	Time
justice	acquit	crtjdg	Justice	Acquit	Adjudicator
justice	acquit	dfdn	Justice	Acquit	Defendant
justice	acquit	crm	Justice	Acquit	Crime
justice	acquit	plc	Justice	Acquit	Place
justice	acquit	date	Justice	Acquit	Time
justice	appeal	pros	Justice	Appeal	Prosecutor
justice	appeal	crtjdg	Justice	Appeal	Adjudicator
justice	appeal	dfdn	Justice	Appeal	Defendant
justice	appeal	crm	Justice	Appeal	Crime
justice	appeal	plc	Justice	Appeal	Place
justice	appeal	date	Justice	Appeal	Time
justice	pardon	crtjdg	Justice	Pardon	Adjudicator
justice	pardon	dfdn	Justice	Pardon	Defendant
justice	pardon	crm	Justice	Pardon	Crime
justice	pardon	plc	Justice	Pardon	Place
justice	pardon	date	Justice	Pardon	Time
					
measurement	count	val	Measurement	Count	Count
measurement	count	perorggpelocfacvehweacombal	Measurement	Count	Item
transaction	transfercontrol	gvrtransfercontrol	Transaction	TransferControl	Giver
transaction	transfercontrol	rcvrtransfercontrol	Transaction	TransferControl	Recipient
transaction	transfercontrol	benetransfercontrol	Transaction	TransferControl	Beneficiary
transaction	transfercontrol	territory	Transaction	TransferControl	Territory
transaction	transfercontrol	plc	Transaction	TransferControl	Place
transaction	transfercontrol	date	Transaction	TransferControl	Time
justice	investigate	investigator	Justice	Investigate	Investigator
justice	investigate	investigatee	Justice	Investigate	Investigatee
justice	investigate	crm	Justice	Investigate	Crime
justice	investigate	plc	Justice	Investigate	Place
justice	investigate	date	Justice	Investigate	Time
government	vote	voter	Government	Vote	Voter
government	vote	candidate	Government	Vote	Candidate
government	vote	bal	Government	Vote	Ballot
government	vote	res	Government	Vote	Results
government	vote	plc	Government	Vote	Place
government	vote	date	Government	Vote	Time
government	legislate	legislature	Government	Legislate	Legislature
government	legislate	law	Government	Legislate	Law
government	legislate	plc	Government	Legislate	Place
government	legislate	date	Government	Legislate	Time
government	spy	agentspy	Government	Spy	Agent
government	spy	targetspy	Government	Spy	Target
government	spy	benespy	Government	Spy	Beneficiary
government	spy	plc	Government	Spy	Place
government	spy	date	Government	Spy	Time
government	agreements	signer	Government	Agreements	Signer
government	agreements	plc	Government	Agreements	Place
government	agreements	date	Government	Agreements	Time
inspection	people	inspector	Inspection	People	Inspector
inspection	people	per	Inspection	People	Person
inspection	people	plc	Inspection	People	Place
inspection	people	date	Inspection	People	Time
inspection	artifactinspection	inspector	Inspection	Artifact	Inspector
inspection	artifactinspection	thginspectionartifact	Inspection	Artifact	Thing
inspection	artifactinspection	plc	Inspection	Artifact	Place
inspection	artifactinspection	date	Inspection	Artifact	Time
existence	damagedestroy	agentdamagedestroy	Existence	DamageDestroy	Agent
existence	damagedestroy	victimdamagedestroy	Existence	DamageDestroy	Victim
existence	damagedestroy	instrument	Existence	DamageDestroy	Instrument
existence	damagedestroy	plc	Existence	DamageDestroy	Place
existence	damagedestroy	date	Existence	DamageDestroy	Time

