DocID     RunID             Language Metatype GoldClusterID      SystemClusterID   TypeSimilarity
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32467 cluster-Q87812684         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32505 cluster-NILE30074         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32604 cluster-NILE30076         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32619 cluster-NILE30077         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32639 cluster-NILE30078         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32654 cluster-NILE30081         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32672 cluster-NILE30082         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32739 cluster-NILE30083         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32764 cluster-NILE30084         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32854 cluster-NILE30085         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32878 cluster-NILE30086         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32953 cluster-NILE30087         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32966 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE32990 cluster-NILE30089         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33003 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33014 cluster-NILE30091         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33037 cluster-NILE30092         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33078 None                      0.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33106 cluster-NILE30094         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33115 cluster-NILE30095         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33163 cluster-NILE30098         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33179 cluster-NILE30096         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33191 cluster-NILE30102         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33201 cluster-NILE30101         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33219 cluster-NILE30103         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33242 cluster-NILE30105         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33252 cluster-NILE30106         1.0000
L0C0499MZ example-task1-run SPA      Entity   cluster-NILQE33257 cluster-NILE30107         1.0000
