DocID     RunID       GoldClusterID     SystemClusterID     Prec Recall     F1
IC001VAPK example-run cluster-NILR20313 cluster-NILR20313 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20314 cluster-NILR20314 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20315 cluster-NILR20315 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20316 cluster-NILR20316 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20317 cluster-NILR20317 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20318 cluster-NILR20318 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20319 cluster-NILR20319 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20320 cluster-NILR20320 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILR20322 cluster-NILR20322 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20310 cluster-NILV20310 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20311 cluster-NILV20311 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20312 cluster-NILV20312 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20313 cluster-NILV20313 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20314 cluster-NILV20314 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20315 cluster-NILV20315 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20316 cluster-NILV20316 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20317 cluster-NILV20317 1.0000 1.0000 1.0000
IC001VAPK example-run cluster-NILV20318 cluster-NILV20318 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILV21300 cluster-NILV21300 1.0000 1.0000 1.0000
IC001VCIQ example-run cluster-NILV21301 cluster-NILV21301 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILV21435 cluster-NILV21435 1.0000 1.0000 1.0000
IC001VFH8 example-run cluster-NILV21436 cluster-NILV21436 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20375 cluster-NILR20375 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20376 cluster-NILR20376 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20377 cluster-NILR20377 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20379 cluster-NILR20379 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20380 cluster-NILR20380 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20381 cluster-NILR20381 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20382 cluster-NILR20382 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20383 cluster-NILR20383 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20384 cluster-NILR20384 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20385 cluster-NILR20385 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20386 cluster-NILR20386 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20387 cluster-NILR20387 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20388 cluster-NILR20388 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20389 cluster-NILR20389 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20391 cluster-NILR20391 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20392 cluster-NILR20392 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILR20393 cluster-NILR20393 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20387 cluster-NILV20387 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20388 cluster-NILV20388 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20389 cluster-NILV20389 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20390 cluster-NILV20390 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20391 cluster-NILV20391 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20392 cluster-NILV20392 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20393 cluster-NILV20393 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20394 cluster-NILV20394 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20395 cluster-NILV20395 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20396 cluster-NILV20396 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20397 cluster-NILV20397 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20398 cluster-NILV20398 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20399 cluster-NILV20399 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20400 cluster-NILV20400 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20401 cluster-NILV20401 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20402 cluster-NILV20402 1.0000 1.0000 1.0000
IC001VGO2 example-run cluster-NILV20403 cluster-NILV20403 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILR22385 cluster-NILR22385 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILR22386 cluster-NILR22386 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILR22387 cluster-NILR22387 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILR22388 cluster-NILR22388 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILR22389 cluster-NILR22389 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILR22390 cluster-NILR22390 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILR22391 cluster-NILR22391 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILV22385 cluster-NILV22385 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILV22386 cluster-NILV22386 1.0000 1.0000 1.0000
JC002YC48 example-run cluster-NILV22388 cluster-NILV22388 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILR20494 cluster-NILR20494 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILR20495 cluster-NILR20495 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILR20496 cluster-NILR20496 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20494 cluster-NILV20494 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20495 cluster-NILV20495 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20496 cluster-NILV20496 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20497 cluster-NILV20497 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20499 cluster-NILV20499 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20500 cluster-NILV20500 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20501 cluster-NILV20501 1.0000 1.0000 1.0000
JC002YCXK example-run cluster-NILV20502 cluster-NILV20502 1.0000 1.0000 1.0000
JC002YD6G example-run cluster-NILR21445 cluster-NILR21445 1.0000 1.0000 1.0000
JC002YD6G example-run cluster-NILV21445 cluster-NILV21445 1.0000 1.0000 1.0000
JC002YD6G example-run cluster-NILV21447 cluster-NILV21447 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILR22455 cluster-NILR22455 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILR22456 cluster-NILR22456 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILR22457 cluster-NILR22457 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILR22458 cluster-NILR22458 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILR22459 cluster-NILR22459 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILV22455 cluster-NILV22455 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILV22456 cluster-NILV22456 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILV22457 cluster-NILV22457 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILV22458 cluster-NILV22458 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILV22459 cluster-NILV22459 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILV22460 cluster-NILV22460 1.0000 1.0000 1.0000
JC002YF02 example-run cluster-NILV22461 cluster-NILV22461 1.0000 1.0000 1.0000
KC003A59I example-run cluster-NILV20705 cluster-NILV20705 1.0000 1.0000 1.0000
KC003A59I example-run cluster-NILV20706 cluster-NILV20706 1.0000 1.0000 1.0000
KC003A59I example-run cluster-NILV20707 cluster-NILV20707 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILR20870 cluster-NILR20870 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILR20871 cluster-NILR20871 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILR20872 cluster-NILR20872 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILR20873 cluster-NILR20873 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILR20875 cluster-NILR20875 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILR20877 cluster-NILR20877 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILR20878 cluster-NILR20878 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20870 cluster-NILV20870 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20872 cluster-NILV20872 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20873 cluster-NILV20873 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20874 cluster-NILV20874 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20875 cluster-NILV20875 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20876 cluster-NILV20876 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20877 cluster-NILV20877 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20878 cluster-NILV20878 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20879 cluster-NILV20879 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20880 cluster-NILV20880 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20881 cluster-NILV20881 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20882 cluster-NILV20882 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20884 cluster-NILV20884 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20885 cluster-NILV20885 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20886 cluster-NILV20886 1.0000 1.0000 1.0000
KC003A6NA example-run cluster-NILV20888 cluster-NILV20888 1.0000 1.0000 1.0000
KC003A7RG example-run cluster-NILR21835 cluster-NILR21835 1.0000 1.0000 1.0000
KC003A7RG example-run cluster-NILR21836 cluster-NILR21836 1.0000 1.0000 1.0000
KC003A7RG example-run cluster-NILR21837 cluster-NILR21837 1.0000 1.0000 1.0000
KC003A7RG example-run cluster-NILV21835 cluster-NILV21835 1.0000 1.0000 1.0000
KC003A7RG example-run cluster-NILV21836 cluster-NILV21836 1.0000 1.0000 1.0000
Summary   example-run                                                   1.0000
