metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE20322	system	cluster-NILE20334	0
Entity	system	cluster-NILE20322	system	cluster-NILE20335	0
Entity	system	cluster-NILE20322	system	cluster-NILE20336	0
Entity	system	cluster-NILE20322	system	cluster-NILE20337	0
Entity	system	cluster-NILE20322	system	cluster-NILE20338	0
Entity	system	cluster-NILE20322	system	cluster-NILE20339	0
Entity	system	cluster-NILE20322	system	cluster-NILE20340	0
Entity	system	cluster-NILE20322	system	cluster-NILE20341	0
Entity	system	cluster-NILE20322	system	cluster-NILE20342	0
Entity	system	cluster-NILE20322	system	cluster-NILE20343	0
Entity	system	cluster-NILE20322	system	cluster-NILE20344	0
Entity	system	cluster-NILE20323	system	cluster-NILE20310	0
Entity	system	cluster-NILE20323	system	cluster-NILE20311	0
Entity	system	cluster-NILE20323	system	cluster-NILE20312	0
Entity	system	cluster-NILE20323	system	cluster-NILE20313	0
